component_1,component_2,cluster
2.8598974592090256,0.18090960245734913,2
2.2561901909466897,1.6103614264786754,0
2.364377421938764,2.2392261633363786,0
3.032694530734425,-2.273162997624389,1
2.7797153311578433,-1.9634722245365095,1
3.095889830056773,-2.3252406206465146,1
1.953533028248178,1.9839135955642233,0
1.4797959546463981,0.8364623224454519,0
2.9068165799042354,0.826796411366304,2
2.924103712281113,1.3489793181976286,0
2.985451904499262,-2.0169898783140416,1
2.0529321999190926,1.6884206954990684,0
2.9073474272192135,0.5768648843371639,2
3.1070920134377538,-2.2567096206714687,1
2.6874162381839177,0.27739463422086696,2
2.0496787360673268,2.186086163506353,0
2.3346433409601417,2.36025236418578,0
2.375608020787533,2.020045083935762,0
2.390135333505791,2.0516362464143003,0
2.1636719234636566,1.7023222996369662,0
2.7770866789617967,0.3794119821676031,2
2.764016243609488,0.2028914273371799,2
2.7707676252713997,0.2840397033530234,2
2.3106420481050627,1.80419523715064,0
2.9872012057063704,-2.0153653583925255,1
2.302554715475333,1.996583345229883,0
2.5428742982944437,-2.175196225017987,1
2.2153271381989,1.5521524185766946,0
3.1156251266711785,-2.38863727671081,1
1.2061717784912211,1.3834982658772628,0
2.7978985520531046,-1.7697644913091557,1
2.4127578689941496,2.1261936867594957,0
3.1012230258276636,-2.407695405671103,1
2.2790136397005507,-1.258256319636108,1
2.920049219126223,-0.37377334735723533,2
2.2186726180825946,1.7356268518007756,0
2.861414211350923,1.0175519722793296,2
2.0215168769019725,2.517250869616396,3
1.8425777282129472,0.9224633785037373,0
1.6866283162029616,1.7111899005922853,0
1.40186080246211,0.014416567437672572,0
2.3129982384027876,1.8415301881244615,0
2.771704980474907,-2.535844430563298,1
2.5498133246040924,0.21713340044919233,2
2.384953677053118,2.2461710349333432,0
2.8017515161197846,-0.20690247948652024,2
1.9586782357012518,1.9567946920551205,0
2.141989097298482,2.4104348471388075,0
2.0651615251041844,2.0052690253015686,0
2.1292623725912048,1.8759122761955704,0
2.7890056129143743,-2.338489693669424,1
2.8755935408840587,0.4513102064768701,2
2.1944396710504734,1.2878028383793043,0
1.7997415836543877,1.5500571518714,0
2.5192827447585358,-1.9783378764357016,1
3.1022896649818414,-2.4241863626760205,1
1.361431820110442,1.8587226740275247,0
3.120958322442069,-2.4710920617353977,1
2.2506212231840856,1.8953372273400415,0
1.3104000166684369,0.8954323988553372,0
2.1688719166068218,1.5230398605633992,0
3.110291930900288,-2.3061824916862217,1
3.112425209208644,-2.3391644056960565,1
2.1729641283107646,1.1752947169782102,0
2.0100665309614687,0.9110135526823075,2
3.1145584875170003,-2.3721463197058923,1
3.04709663157794,-2.254104868664096,1
3.1198916832878907,-2.45460110473048,1
3.118825044133713,-2.4381101477255624,1
2.8251003227467564,-1.948597846407874,1
3.005494395232811,-2.066183680318288,1
1.7079450769313491,2.1861978797503276,3
2.3857127644307634,1.867743861537813,0
2.987431406952944,-2.0256840817735733,1
2.137787288163305,2.6601636970837177,0
3.094823190902595,-2.308749663641597,1
2.3629210541470584,1.942837335582773,0
2.038412409799294,1.1779857296674199,0
2.8536281223067443,0.405508643145622,2
2.8402926606174077,0.36995955718041135,2
3.1022896649818414,-2.4241863626760205,1
3.049229909886296,-2.287086782673931,1
3.1156251266711785,-2.38863727671081,1
2.748745527668966,-2.3992815977263464,1
2.85373413151602,0.5661846943741262,2
1.866300488471691,0.8683122286517425,0
1.9736410921493706,2.0447556607664286,0
2.430614526252005,2.2011102814371153,0
3.014777020514381,-2.3198672261431397,1
2.6713926661573093,-2.233633809971406,1
2.8868401541893363,0.046264895529093464,2
1.9023011801278455,4.173835289834501,4
2.1416347804499414,1.810270777920937,0
2.6954654906016344,0.3059009646395491,2
2.462276895568824,-0.7481320969095192,2
2.0433696627286517,1.3336882258062877,0
2.1814329518210047,1.6008873488074027,0
2.577342828845901,0.6866603817524131,2
3.10922529174611,-2.289691534681304,1
1.902808752133789,2.0221765449533415,0
1.7538081509091004,2.1263697899015686,0
2.2771675050775166,0.12457292001483927,0
1.9994315715082625,1.7800444672137505,0
1.5500322344670245,0.11640342758951791,0
3.0460299924237617,-2.237613911659178,1
2.8112045618659893,0.3041777615855035,2
3.063058610298275,0.42190568181101873,2
3.110291930900288,-2.3061824916862217,1
2.9849436104267157,0.1449894830242802,2
2.2501942489414253,2.4761450673334475,0
2.3629921102722813,2.037106719406033,0
2.346533242383761,1.6382340800487736,0
2.19995231176682,1.6442925765021261,0
2.2347369950851346,0.02100438510296221,0
2.864314270394994,0.5164891543973024,2
2.319884681952245,1.6441859633366507,0
3.1145584875170003,-2.3721463197058923,1
2.0663206256860445,1.40399349855743,0
1.955505591606293,1.2561889059164184,0
2.754512199216806,0.5044967746698065,2
2.969087964074267,0.05479928585463151,2
2.1592169257098934,-0.7286805506530657,1
1.765033919434007,0.9310131315769707,0
2.2454604836113945,-0.21108111710233218,0
3.108158652591932,-2.2732005776763864,1
1.2803607422221532,1.4210748982486585,0
2.19906857316033,1.7636360725944733,0
2.164452888323613,1.081712942981632,0
2.069492509198061,1.8714791206978614,0
1.747601927880601,2.5481722570957688,3
1.311344971966959,1.0523402822053278,0
2.2999086638774813,1.8225298956239435,0
2.7519454451314997,-2.4487544687410994,1
2.6075278085559677,-0.47039746463137394,2
2.2149146169223135,1.661917617934278,0
2.165797079496042,2.756122247362032,0
2.3292045574915923,2.554247029911769,3
2.668619470476613,0.3377354455910047,2
2.808498762894642,-0.9193380113146732,2
2.0497163742162567,2.154267579425325,0
2.2600833156954625,1.6470515549797398,0
2.7444679644419168,-0.2057385750871876,2
2.035602274791047,1.8680603613648747,0
3.049229909886296,-2.287086782673931,1
2.722610396129492,-2.2369391996325456,1
2.6483604014635693,0.0013449591175570819,2
2.339494099729263,1.1861843604097582,0
2.1149058492178656,2.878127960274078,0
2.1765225787664955,1.3886301839054331,0
3.108158652591932,-2.2732005776763864,1
3.1177584049795346,-2.421619190720645,1
